TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
180,ROCm,MI300X,Qwen3-235B-A22B-Down,8,16384,4096,4096,bf16,PASS,8.36,526.20,19.72,446.14
181,ROCm,MI300X,Qwen3-235B-A22B-GateUP,16,512,8192,4096,bf16,PASS,1.23,447.29,4.01,274.36
182,ROCm,MI300X,Qwen3-235B-A22B-Down,16,512,4096,4096,bf16,PASS,0.63,434.99,2.03,271.18
183,ROCm,MI300X,Qwen3-235B-A22B-GateUP,16,1024,8192,4096,bf16,PASS,2.23,494.14,6.49,338.94
184,ROCm,MI300X,Qwen3-235B-A22B-Down,16,1024,4096,4096,bf16,PASS,1.18,465.61,3.26,337.66
185,ROCm,MI300X,Qwen3-235B-A22B-GateUP,16,2048,8192,4096,bf16,PASS,4.28,513.60,11.02,399.15
186,ROCm,MI300X,Qwen3-235B-A22B-Down,16,2048,4096,4096,bf16,PASS,2.17,505.64,5.62,391.17
187,ROCm,MI300X,Qwen3-235B-A22B-GateUP,16,4096,8192,4096,bf16,PASS,8.38,524.80,20.34,432.52
188,ROCm,MI300X,Qwen3-235B-A22B-Down,16,4096,4096,4096,bf16,PASS,4.25,517.57,10.51,418.37
189,ROCm,MI300X,Qwen3-235B-A22B-GateUP,16,8192,8192,4096,bf16,PASS,16.73,525.85,39.22,448.58
190,ROCm,MI300X,Qwen3-235B-A22B-Down,16,8192,4096,4096,bf16,PASS,8.39,524.04,20.17,436.04
191,ROCm,MI300X,Qwen3-235B-A22B-GateUP,16,16384,8192,4096,bf16,PASS,33.59,523.76,77.15,456.05
192,ROCm,MI300X,Qwen3-235B-A22B-Down,16,16384,4096,4096,bf16,PASS,16.90,520.38,39.82,441.79
193,ROCm,MI300X,Mixtral-8x7B-GateUP,1,512,28672,4096,bf16,PASS,0.21,571.12,0.73,329.28
194,ROCm,MI300X,Mixtral-8x7B-Down,1,512,4096,14336,bf16,PASS,0.15,409.64,0.38,317.76
195,ROCm,MI300X,Mixtral-8x7B-GateUP,1,1024,28672,4096,bf16,PASS,0.42,579.43,1.12,430.79
196,ROCm,MI300X,Mixtral-8x7B-Down,1,1024,4096,14336,bf16,PASS,0.25,489.55,0.57,421.41
197,ROCm,MI300X,Mixtral-8x7B-GateUP,1,2048,28672,4096,bf16,PASS,0.80,599.26,1.94,495.95
198,ROCm,MI300X,Mixtral-8x7B-Down,1,2048,4096,14336,bf16,PASS,0.43,560.66,1.02,470.37
199,ROCm,MI300X,Mixtral-8x7B-GateUP,1,4096,28672,4096,bf16,PASS,1.60,603.02,3.39,568.08
200,ROCm,MI300X,Mixtral-8x7B-Down,1,4096,4096,14336,bf16,PASS,0.78,616.73,1.76,545.21
201,ROCm,MI300X,Mixtral-8x7B-GateUP,1,8192,28672,4096,bf16,PASS,3.17,607.16,6.49,593.06
202,ROCm,MI300X,Mixtral-8x7B-Down,1,8192,4096,14336,bf16,PASS,1.58,607.68,3.39,566.84
203,ROCm,MI300X,Mixtral-8x7B-GateUP,1,16384,28672,4096,bf16,PASS,6.36,604.70,12.66,607.88
204,ROCm,MI300X,Mixtral-8x7B-Down,1,16384,4096,14336,bf16,PASS,3.27,588.86,6.65,578.92
205,ROCm,MI300X,Mixtral-8x22B-GateUP,1,512,32768,6144,bf16,PASS,0.49,423.41,1.30,315.98
206,ROCm,MI300X,Mixtral-8x22B-Down,1,512,6144,16384,bf16,PASS,0.21,487.68,0.62,332.44
207,ROCm,MI300X,Mixtral-8x22B-GateUP,1,1024,32768,6144,bf16,PASS,0.81,507.07,1.95,422.04
